---,ModifierId,ModifierName,ItemTags,ModifierTags,ModifierWeight,ModifierTier,ModifierRequiredLevel,ModifierAffixType,MinMaxRange,ModifiedAttribute,ModifierOperator,UniqueModifierId,ValidItemClasses,ValidItemTypesOverride,ModifierBuckets
phys_dmg_flat_01,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""B5F10D094E054BFD96EB43A8D68F8AD6"", ""phys_dmg_flat_01"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""E835C82C47ADAE6E150AE4BA1600F669"", ""Hardened"")","(Etched=False)","(Physical=False,Fire=False,Ice=False,Electric=False,Poison=False,Damage=False,Attack=False,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","0","1","Prefix","(2,4)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=1.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=True,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
phys_dmg_flat_02,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""A68EFE18436F6D8970E5FA9F0057CF5B"", ""phys_dmg_flat_02"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""BC514C694E6451CAE750F88FEDCAF8B2"", ""phys + 2"")","(Etched=False)","(Physical=True,Fire=False,Ice=False,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","1","5","Prefix","(4,6)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=1.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=True,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
phys_dmg_percent_01,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""FB42EE2C44ABEE0642EB1695DCD96B50"", ""phys_dmg_percent_01"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""2BF300F54F98EF23661AB7BDB94C4AE1"", ""phys % 1"")","(Etched=False)","(Physical=True,Fire=False,Ice=False,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","0","1","Prefix","(10,20)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=1.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Multiplication","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=True,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
phys_dmg_percent_02,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""555E412843CEBB8EED2FC9AA854CBAC9"", ""phys_dmg_percent_02"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""8226692740BD8C69AB1FACA21F50C4ED"", ""phys % 2"")","(Etched=False)","(Physical=True,Fire=False,Ice=False,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","1","5","Prefix","(21,30)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=1.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Multiplication","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=True,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
fire_dmg_flat_01,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""3267274D4407C560FBCBBE80C91711C8"", ""fire_dmg_flat_01"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""C1A130F747D023655AD470AC3CA62FE6"", ""fire + 1"")","(Etched=False)","(Physical=False,Fire=True,Ice=False,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","0","1","Prefix","(3,6)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=1.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=True,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
fire_dmg_flat_02,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""355791D143DCD3B4832C08825535E15A"", ""fire_dmg_flat_02"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""1F2A7BFC4BADB2834324E480D9FC479B"", ""fire + 2"")","(Etched=False)","(Physical=False,Fire=True,Ice=False,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","1","5","Prefix","(6,12)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=1.000000,IceDamage=0.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=True,LocalFlatColdDamage=False,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
ice_dmg_flat_01,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""A6062CA84D96023AB40DF8AD02B4B816"", ""ice_dmg_flat_01"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""8B6552F34BEED4686EFDB789AAF58F7B"", ""ice + 1"")","(Etched=False)","(Physical=False,Fire=False,Ice=True,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","0","1","Prefix","(4,5)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=0.000000,IceDamage=1.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=True,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
ice_dmg_flat_02,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""848965A54D107820CECDDE9A4875E00D"", ""ice_dmg_flat_02"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""7703D11A46C3F7105C885D9212108597"", ""ice + 2"")","(Etched=False)","(Physical=False,Fire=False,Ice=True,Electric=False,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","1","5","Prefix","(8,10)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=0.000000,IceDamage=1.000000,ElectricDamage=0.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=True,LocalFlatElectricDamage=False,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
elec_dmg_flat_01,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""CE94C60249D2FDC5AE669F84F5F67015"", ""elec_dmg_flat_01"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""215A4ADE4FFF95EAF9B47E9AB68BDFBE"", ""electric + 1"")","(Etched=False)","(Physical=False,Fire=False,Ice=False,Electric=True,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","0","1","Prefix","(1,8)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=1.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=True,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
elec_dmg_flat_02,"NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""D12237514C8E239833E9D484FE29D94A"", ""elec_dmg_flat_02"")","NSLOCTEXT(""[0167F5F64C13037CE4CA5A79C7AE169A]"", ""4D67C4694802A6A41E525CA2B8C1577C"", ""electric + 2"")","(Etched=False)","(Physical=False,Fire=False,Ice=False,Electric=True,Poison=False,Damage=True,Attack=True,Defense=False,Resistance=False,Speed=False,Critical=False,Life=False,Armor=False,Evade=False,Overshield=False)","1000","1","5","Prefix","(2,16)","(WeaponAttackRate=0.000000,WeaponCriticalChance=0.000000,WeaponCriticalMulti=0.000000,DamageModifier=(PhysicalDamage=0.000000,FireDamage=0.000000,IceDamage=0.000000,ElectricDamage=1.000000,PoisonDamage=0.000000),MigitationModifier=(PhysicalReduction=0.000000,Evade=0.000000,Overshield=0.000000,Block=0.000000),ResistanceModifier=(FireResistance=0.000000,IceResistance=0.000000,ElectricResistance=0.000000,PoisonResistance=0.000000))","Addition","","(Armor=False,Weapon=True,Shield=False,Jewelry=False,Misc=False)","(Armor=(Head=False,Chest=False,Gloves=False,Boots=False,Shield=False),Weapon=(Sword=False,Axe=False),Shield=(HandOff=False),Jewelry=(Neck=False,Ring=False,Belt=False),Misc=(Misc=False))","(WeaponModifierBuckets=(LocalFlatPhysDamage=False,LocalPercentPhysDamage=False,LocalFlatFireDamage=False,LocalFlatColdDamage=False,LocalFlatElectricDamage=True,LocalFlatPoisonDamage=False,LocalAttackRate=False,LocalCritChance=False,LocalCritDamage=False),ArmorModifierBuckets=(PhysicalMitigation=False,Evade=False,OverShield=False,life=False),JewelryModifierBuckets=(FireResist=False),MiscModifierBuckets=(Life=False),GlobalModifierBuckets=(FireResist=False,ColdResist=False,ElectricResist=False,PoisonResist=False,GlobalAllSkills=False,UniqueSkill=False))"
